date,open,high,low,close,asset
2024-12-11,1.44e-06,1.74e-06,1.11e-06,1.13e-06,pochita/usd/ohlcv
2024-12-15,1.13e-06,1.39e-06,1.11e-06,1.18e-06,pochita/usd/ohlcv
2024-12-19,1.18e-06,1.18e-06,8.00626e-07,8.00626e-07,pochita/usd/ohlcv
2024-12-23,7.99932e-07,7.99932e-07,5.94493e-07,6.3194e-07,pochita/usd/ohlcv
2024-12-27,6.27652e-07,6.95858e-07,5.09698e-07,5.36156e-07,pochita/usd/ohlcv
2024-12-31,5.36939e-07,5.37309e-07,4.34083e-07,4.49822e-07,pochita/usd/ohlcv
2025-01-04,4.49316e-07,4.49316e-07,3.90047e-07,4.2581e-07,pochita/usd/ohlcv
2025-01-08,4.25942e-07,4.60584e-07,3.37207e-07,3.38897e-07,pochita/usd/ohlcv
2025-01-12,3.38839e-07,3.42252e-07,2.64847e-07,3.00444e-07,pochita/usd/ohlcv
2025-01-16,3.00691e-07,3.06696e-07,2.48247e-07,2.6312e-07,pochita/usd/ohlcv
2025-01-20,2.63828e-07,2.63828e-07,1.49817e-07,1.65929e-07,pochita/usd/ohlcv
2025-01-24,1.64292e-07,1.74175e-07,1.51524e-07,1.58081e-07,pochita/usd/ohlcv
2025-01-28,1.58561e-07,1.645e-07,1.42834e-07,1.48933e-07,pochita/usd/ohlcv
2025-02-01,1.49302e-07,1.89087e-07,1.4156e-07,1.81441e-07,pochita/usd/ohlcv
2025-02-05,1.84131e-07,3.42407e-07,1.2505e-07,2.43535e-07,pochita/usd/ohlcv
2025-02-09,2.43489e-07,2.43489e-07,1.50832e-07,1.5532e-07,pochita/usd/ohlcv
2025-02-13,1.55094e-07,1.88175e-07,1.51973e-07,1.82924e-07,pochita/usd/ohlcv
2025-02-17,1.8284e-07,1.85802e-07,1.62637e-07,1.63594e-07,pochita/usd/ohlcv
2025-02-21,1.63847e-07,2.32101e-07,1.63601e-07,1.88105e-07,pochita/usd/ohlcv
2025-02-25,1.87979e-07,2.32176e-07,1.77195e-07,1.77591e-07,pochita/usd/ohlcv
2025-03-01,1.78511e-07,1.78976e-07,1.45099e-07,1.55227e-07,pochita/usd/ohlcv
2025-03-05,1.55056e-07,1.74434e-07,1.33883e-07,1.44298e-07,pochita/usd/ohlcv
2025-03-09,1.43921e-07,1.54773e-07,1.33974e-07,1.34872e-07,pochita/usd/ohlcv
2025-03-13,1.35682e-07,1.36284e-07,1.10433e-07,1.13783e-07,pochita/usd/ohlcv
2025-03-17,1.13415e-07,1.14531e-07,1.07118e-07,1.0808e-07,pochita/usd/ohlcv
2025-03-21,1.08627e-07,1.26285e-07,1.07723e-07,1.14521e-07,pochita/usd/ohlcv
2025-03-25,1.14682e-07,2.08178e-07,1.11522e-07,1.97744e-07,pochita/usd/ohlcv
