statusCode,data
200,"{'rank': 27, 'price': 0.004385179689996431, 'price24h': 0.012399962761831173, 'variation24h': -64.63554145908704, 'creationBlock': 340030812, 'creationTime': '2025-05-14T20:17:49.525Z', 'exchange': {'name': 'Meteora DLMM', 'factory': 'lbuzkhrxpf3xupbcjp4yztkglccjzhtsdm9yuvapwxo'}, 'address': '7kJfsMmmt57nFQfhXjQ81wtqXNqhHN9wrJiWnBiGTTxa', 'mainToken': {'name': 'Unicorn', 'symbol': 'UNICORN', 'address': 'DzN1qkcRdsxQRFb9yVvz73Fnu6SbD3f5oJgArVdx7Nzc'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 28, 'price': 0.004398556407463852, 'price24h': 0.01235208453343331, 'variation24h': -64.39016916085454, 'creationBlock': 339895888, 'creationTime': '2025-05-14T05:24:30.734Z', 'exchange': {'name': 'Raydium CLMM', 'factory': 'cammczo5yl8w4vff8kvhrk22ggusp5vtaw7grrkgrwqk'}, 'address': '31hoEnoLRbrpAfuJybEyuF3fkaY9NpUb8zZa182w5La8', 'mainToken': {'name': 'Unicorn', 'symbol': 'UNICORN', 'address': 'DzN1qkcRdsxQRFb9yVvz73Fnu6SbD3f5oJgArVdx7Nzc'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 29, 'price': 0.004485801677249609, 'price24h': 0.01245599297427842, 'variation24h': -63.9867998760695, 'creationBlock': 339888843, 'creationTime': '2025-05-14T04:37:46.089Z', 'exchange': {'name': 'Meteora DLMM', 'factory': 'lbuzkhrxpf3xupbcjp4yztkglccjzhtsdm9yuvapwxo'}, 'address': '64pDmzjiU9ospeHNduf4bY7Sb3NhD6jqR7ubMrkMExBc', 'mainToken': {'name': 'Unicorn', 'symbol': 'UNICORN', 'address': 'DzN1qkcRdsxQRFb9yVvz73Fnu6SbD3f5oJgArVdx7Nzc'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 30, 'price': 0.0008786977496685978, 'price24h': 0.002252859551917112, 'variation24h': -60.99633690343218, 'creationBlock': 325212521, 'creationTime': '2025-03-07T16:19:03.819Z', 'exchange': {'name': 'Raydium CPMM', 'factory': 'cpmmoo8l3f4nbtegbckvnunggl7h1zpdthkxqb5qkp1c'}, 'address': 'FpPxn2iiV2TZTSg5GA833HgcKdfBKPGgtfF5jh3kdyeB', 'mainToken': {'name': '$RICH', 'symbol': '$RICH', 'address': 'Hrh6QCmnGjtq3gqg4xZzncXS7wAWeVmu7SCRfQ4N5H6S'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 31, 'price': 0.0024009863219863785, 'price24h': 0.0060442383050087764, 'variation24h': -60.27644508991787, 'creationBlock': 339996137, 'creationTime': '2025-05-14T16:27:41.590Z', 'exchange': {'name': 'Raydium CLMM', 'factory': 'cammczo5yl8w4vff8kvhrk22ggusp5vtaw7grrkgrwqk'}, 'address': 'yYBrasHZgJ42vqD5PwUKtJfReYyvFX5S8pdeVxcU6KZ', 'mainToken': {'name': 'Greenshirt', 'symbol': 'GREEN', 'address': '4ckyDwhcZdowu2WfC4QCT2orhUaPtGoW6TJZZVqGEc7S'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 32, 'price': 0.005036493616119993, 'price24h': 0.012408366449865102, 'variation24h': -59.410502289165166, 'creationBlock': 329317253, 'creationTime': '2025-03-26T14:31:30.794Z', 'exchange': {'name': 'Orca Whirlpool', 'factory': 'whirlbmiicvdio4qvufm5kag6ct8vwpyzgff3uctycc'}, 'address': '593RyginpfH7TCn2pm9fMYjgVhgsYES8LyUNu4R9m9RE', 'mainToken': {'name': 'GoFundMeme', 'symbol': 'GFM', 'address': 'E1jCTXdkMRoawoWoqfbhiNkkLbxcSHPssMo36U84pump'}, 'sideToken': {'name': 'Jito Staked SOL', 'symbol': 'JitoSOL', 'address': 'J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn'}}"
200,"{'rank': 33, 'price': 2.058258201057787e-05, 'price24h': 4.777344448108284e-05, 'variation24h': -56.91626962605116, 'creationTime': '2025-05-11T03:24:02.537Z', 'exchange': {'name': 'PumpSwap', 'factory': 'pammbay6oceh9fjkbrhgp5d4bd4swpmswmn52fmfxea'}, 'address': '6QiNKv5MPnN77j1ya2t6YPs4p3uum8HND9KNPhJSCAVA', 'mainToken': {'name': 'SEXCOIN', 'symbol': 'SEXCOIN', 'address': 'GNEtA3sDw9oX7uuzMt6n5nHLEevcYLvPrEoL9vaQpump'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 34, 'price': 0.00042610050174870243, 'price24h': 0.0009862075889202817, 'variation24h': -56.79403540027458, 'creationBlock': 337671631, 'creationTime': '2025-05-04T01:25:32.498Z', 'exchange': {'name': 'Meteora', 'factory': 'eo7wjkq67rjjqszxs6z3ykapzy3emj6xy8x5eqvn5uab'}, 'address': 'HqR7i6ZJPJKP3iYMqMFPCd9DK7cbH5R3JJ5xyoNznWaz', 'mainToken': {'name': 'sociove', 'symbol': 'AICREATOR', 'address': 'GQgpvgiSzHXyST3kCYBXpykjtcqwS7QXsuif2Foc4aB2'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 35, 'price': 0.00030798110576699974, 'price24h': 0.0006919278222456653, 'variation24h': -55.48941726791084, 'creationTime': '2025-04-25T22:42:07.049Z', 'exchange': {'name': 'PumpSwap', 'factory': 'pammbay6oceh9fjkbrhgp5d4bd4swpmswmn52fmfxea'}, 'address': 'Eph5WmFa4x5ZbdYQeij96rJPd1n6iWijhaXGZ5RtZrLy', 'mainToken': {'name': 'Fotzen Fritz ', 'symbol': 'FTZNFRTZ', 'address': '4Ge6ejgv7KJHqDgML3w2S48rntuZQ4KZ9WGEVeibpump'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 36, 'price': 0.0040893928525639845, 'price24h': 0.008734476984601284, 'variation24h': -53.1810220603534, 'creationTime': '2025-05-13T21:06:46.566Z', 'exchange': {'name': 'PumpSwap', 'factory': 'pammbay6oceh9fjkbrhgp5d4bd4swpmswmn52fmfxea'}, 'address': '8kaEhweQhLXQ2bbCaUbcmAW54ozwgTR1SxCrVWqSFjB9', 'mainToken': {'name': 'CLI.AI', 'symbol': 'CMD', 'address': '7Gg6J1nkHLVV2TMqhVGHS1BrYycDmLoux9R3GSy2pump'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
