date,open,high,low,price,token_address,returns,log_returns,sma_10,sma_50,ema_10,ema_50,volatility_10,volatility_50,rsi_14,macd,macd_signal,macd_histogram,momentum_1,momentum_5,momentum_10,return,log_return,macd_diff,bb_high,bb_low,bb_width,price_lag_1,price_lag_2,price_lag_3,volume_sma_10,volume_sma_50,action_label
2025-03-13,0.000662,0.00068064,0.00060192,0.00065684,rena,-0.0072396959025436,-0.0072660296769139,0.0007661580000000001,0.0010868523076923077,0.0007914708640379836,0.0010272981143114627,1.6338584415416613,,32.10842682407444,-0.00013296451257490901,-0.00010067769293835357,-1.7856044550928827e-05,-4.789999999999959e-06,-0.00016366999999999998,-0.00021000999999999995,-0.007239695902543697,-0.0072660296769139375,-3.228681963655544e-05,0.0015635018964408505,0.00041142610355914943,116.67015636840443,0.00066163,0.00070929,0.00083542,,,1
2025-03-17,0.0006568,0.00067954,0.00060129,0.00063623,rena,-0.0313775044150782,-0.0318803244376443,0.0007592949999999999,0.0010701625925925926,0.0007632452523947138,0.0010119621098286602,1.2984000480251436,,31.34239098775751,-0.0001377718998542887,-0.0001080965343215406,-1.6400427744525064e-05,-2.0610000000000008e-05,-0.00019322000000000002,-6.862999999999997e-05,-0.03137750441507825,-0.031880324437644304,-2.9675365532748102e-05,0.0014605530032684626,0.000417860996731537,111.01833850651941,0.00065684,0.00066163,0.00070929,,,1
2025-03-21,0.00070073,0.00071337,0.000636,0.00067622,rena,0.0628546280433175,0.0609583336986114,0.0007513919999999999,0.0010560932142857143,0.0007474224792320386,0.0009987957525804776,1.285131765961142,,34.60262283941607,-0.00013677823575859705,-0.0001138328746089519,-1.4530477514206434e-05,3.998999999999995e-05,-0.00015920000000000007,-7.903000000000001e-05,0.06285462804331754,0.06095833369861149,-2.2945361149645147e-05,0.001360581766424371,0.00043476623357562895,103.13493905902835,0.00063623,0.00065684,0.00066163,,,1
2025-03-25,0.00067624,0.00070655,0.00062034,0.00070647,rena,0.0447339623199549,0.0437622714933953,0.000735061,0.0010440372413793105,0.0007399765739171224,0.0009873319975773217,1.0296221892384523,,37.03816604845997,-0.00013202789225617655,-0.00011747187813839684,0.0010935491490166,3.0250000000000003e-05,-2.8200000000000577e-06,-0.00016331000000000006,0.04473396231995497,0.04376227149339538,-1.4556014117779714e-05,0.0012498390350706393,0.00046990596492936103,90.70333917427038,0.00067622,0.00063623,0.00065684,,,1
2025-03-29,0.00070615,0.00071517,0.00065464,0.00066237,rena,-0.0624230328251729,-0.0644564261876382,0.000719443,0.001031315,0.0007258662877503729,0.0009745883898291915,1.0338562568366225,,34.99217228381313,-0.00013031947051204452,-0.00012004139661312637,-1.24670154575779e-05,-4.4099999999999934e-05,7.400000000000505e-07,-0.00015618,-0.06242303282517292,-0.06445642618763824,-1.0278073898918152e-05,0.0011753444341397069,0.00048226756586029296,83.62353412974977,0.00070647,0.00067622,0.00063623,,,1
2024-12-03,238.43,246.77,220.37,225.68,sol,-0.0537526205450733,-0.055251243634655,225.68,225.68,225.68,225.68,,,100.0,0.0,0.0,-5.283016790659507e-06,,,,,,0.0,225.68,225.68,0.0,,,,,,1
2024-12-07,225.54,246.35,217.48,237.17,sol,0.0509127968805387,0.0496591168830621,231.425,231.425,227.7690909090909,226.13058823529414,,,100.0,0.9165811965812054,0.18331623931624108,-1.1121849190903496e-05,11.48999999999998,,,0.050912796880538735,0.04965911688306219,0.7332649572649643,242.91499999999996,219.93500000000006,9.929782867019512,225.68,,,,,1
2024-12-11,237.01,243.09,204.36,214.13,sol,-0.0971455074419193,-0.1021938763586777,225.66,225.66,225.2892561983471,225.65997693194927,,,31.650880427181974,-0.2136937200185116,0.10391424744929055,-1.4451830902439929e-05,-23.039999999999992,,,-0.0971455074419193,-0.10219387635867773,-0.3176079674678022,244.47210248749457,206.84789751250543,16.67296152396931,237.17,225.68,,,,1
2024-12-15,213.68,234.22,211.76,219.46,sol,0.0248914210993322,0.0245866763445277,224.11,224.11,224.22939143501125,225.41684058167675,,,41.59590070434011,-0.6716163045907138,-0.05119186295871031,-1.591693432414762e-05,5.3300000000000125,,,0.02489142109933229,0.024586676344527783,-0.6204244416320035,241.26375760584253,206.9562423941575,15.308337518042492,214.13,237.17,225.68,,,1
2024-12-19,219.67,228.87,204.78,205.29,sol,-0.0645675749567119,-0.066746369930137,220.346,220.346,220.78586571955464,224.62755271572865,,,29.363575672542666,-2.153104183619206,-0.4715743270908095,-1.2739674490431716e-06,-14.170000000000016,,,-0.06456757495671195,-0.06674636993013705,-1.6815298565283965,241.84214514279248,198.84985485720753,19.51126423242761,219.46,214.13,237.17,,,1
